Luas Tanah,Luas Bangunan,Kamar Tidur,Kamar Mandi,Daya Listrik,Jumlah Lantai,Kecamatan,Sertifikat,Kondisi Perabotan,Kondisi Properti,Hook,Terjangkau Internet,Harga_Asli,Harga_Prediksi,Selisih
70,105,3,2,1300.0,2.0,rungkut,SHM - Sertifikat Hak Milik,Unfurnished,Baru,Tidak,Tidak,1700000000,1222450000.0,477550000.0
128,160,4,3,2200.0,1.0,rungkut,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Tidak,Tidak,2550000000,2372000000.0,178000000.0
100,130,3,3,2200.0,2.0,tenggilis mejoyo,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Tidak,Tidak,1900000000,1782758730.1587303,117241269.84126973
126,68,3,2,1300.0,1.0,jambangan,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Tidak,Tidak,1700000000,1492890000.0,207110000.0
98,98,3,2,2200.0,1.0,tambaksari,SHM - Sertifikat Hak Milik,Unfurnished,Baru,Tidak,Tidak,1000000000,1177720000.0,-177720000.0
478,275,3,2,5500.0,1.0,sawahan,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Tidak,Ya,8970000000,9747966666.666668,-777966666.6666679
320,290,4,4,4400.0,2.0,sambikerep,HGB - Hak Guna Bangunan,Unfurnished,Bagus,Tidak,Ya,6000000000,6000000000.0,0.0
320,290,4,4,4400.0,2.0,sambikerep,HGB - Hak Guna Bangunan,Unfurnished,Bagus,Tidak,Ya,6000000000,6000000000.0,0.0
60,85,3,3,2200.0,2.0,rungkut,SHM - Sertifikat Hak Milik,Unfurnished,Baru,Tidak,Tidak,1300000000,1155350000.0,144650000.0
120,180,5,2,2200.0,2.0,rungkut,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Tidak,Ya,1850000000,1839600000.0,10400000.0
105,69,3,2,2200.0,2.0,benowo,HGB - Hak Guna Bangunan,Unfurnished,Bagus,Ya,Ya,2000000000,1808666666.666667,191333333.33333302
412,341,4,3,10600.0,2.0,wiyung,HGB - Hak Guna Bangunan,Unfurnished,Sudah Renovasi,Tidak,Tidak,3900000000,9739709523.809525,-5839709523.809525
260,450,4,3,4400.0,1.0,wiyung,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Tidak,Ya,1200000000,3273105238.095238,-2073105238.0952382
117,90,2,2,2200.0,1.0,wiyung,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Tidak,Tidak,1500000000,2832100595.2380953,-1332100595.2380953
96,96,3,2,2200.0,2.0,simokerto,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Tidak,Ya,1500000000,1822000000.0,-322000000.0
460,350,4,2,2200.0,2.0,tegalsari,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Ya,Tidak,17000000000,6983200000.0,10016800000.0
360,300,3,3,5500.0,1.0,rungkut,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Ya,Ya,6500000000,6234900000.0,265100000.0
62,94,3,3,2200.0,2.0,rungkut,SHM - Sertifikat Hak Milik,Unfurnished,Baru,Tidak,Tidak,1250000000,1257250000.0,-7250000.0
105,96,3,3,4400.0,1.0,sambikerep,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Tidak,Ya,2100000000,1883466666.666667,216533333.33333302
186,350,4,4,2200.0,2.0,sukolilo,HGB - Hak Guna Bangunan,Unfurnished,Baru,Tidak,Ya,5250000000,5438300000.0,-188300000.0
215,210,3,3,2200.0,1.0,wiyung,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Ya,Ya,2300000000,3193733333.333333,-893733333.333333
150,170,6,2,1300.0,1.0,rungkut,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Tidak,Tidak,1300000000,1498333333.333333,-198333333.33333302
301,125,3,2,900.0,1.0,tenggilis mejoyo,SHM - Sertifikat Hak Milik,Unfurnished,Butuh Renovasi,Ya,Ya,3500000000,3206000000.0,294000000.0
240,160,4,3,4400.0,2.0,wiyung,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Tidak,Tidak,1450000000,2432850000.0,-982850000.0
192,350,5,1,5500.0,2.0,rungkut,SHM - Sertifikat Hak Milik,Unfurnished,Baru,Tidak,Ya,3600000000,3049900000.0,550100000.0
300,380,5,5,2200.0,2.0,tenggilis mejoyo,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Tidak,Tidak,3890000000,4778195000.0,-888195000.0
150,200,4,2,2200.0,1.0,gubeng,"Lainnya (PPJB,Girik,Adat,dll)",Unfurnished,Bagus,Tidak,Ya,1500000000,2014350000.0,-514350000.0
82,135,3,3,4400.0,2.0,mulyorejo,SHM - Sertifikat Hak Milik,Unfurnished,Baru,Tidak,Ya,1850000000,1890800000.0,-40800000.0
90,90,3,3,1300.0,2.0,rungkut,SHM - Sertifikat Hak Milik,Unfurnished,Baru,Tidak,Ya,1700000000,1480000000.0,220000000.0
200,150,3,2,3500.0,1.0,rungkut,SHM - Sertifikat Hak Milik,Unfurnished,Unknown,Tidak,Ya,2100000000,1699900000.0,400100000.0
102,90,3,2,2200.0,1.0,wiyung,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Tidak,Tidak,1420000000,3545450000.0,-2125450000.0
45,60,2,2,2200.0,1.0,rungkut,SHM - Sertifikat Hak Milik,Unfurnished,Baru,Tidak,Ya,725000000,780150000.0,-55150000.0
135,130,3,1,2200.0,1.0,gubeng,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Tidak,Ya,2300000000,2291000000.0,9000000.0
112,1010,2,3,2200.0,2.0,rungkut,SHM - Sertifikat Hak Milik,Unfurnished,Baru,Ya,Ya,1850000000,3190110000.0,-1340110000.0
128,176,4,3,2200.0,2.0,rungkut,SHM - Sertifikat Hak Milik,Unfurnished,Baru,Tidak,Tidak,2550000000,2478311691.086691,71688308.9133091
