Kecamatan,Cluster,Price,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Sertifikat,Daya Listrik,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Jumlah Lantai,Hadap,Terjangkau Internet,Lebar Jalan,Sumber Air,Hook,Kondisi Properti
tandes,0,650000000,3,2,72,100,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,2.0,Unknown,Tidak,,,Tidak,Bagus
lakarsantri,1,650000000,2,1,84,70,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,1.0,Selatan,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus
rungkut,1,650000000,2,1,90,50,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,1.0,Selatan,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus
rungkut,1,650000000,2,1,90,50,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,1.0,Selatan,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus
rungkut,1,650000000,3,1,90,90,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,1.0,Unknown,Tidak,,,Tidak,Bagus
rungkut,1,650000000,3,1,90,90,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,1.0,Unknown,Tidak,,,Tidak,Bagus
tambaksari,0,650000000,3,2,92,150,SHM - Sertifikat Hak Milik,1300.0,,Tidak,Unfurnished,2.0,Unknown,Tidak,,,Tidak,Bagus
benowo,1,650000000,2,1,95,50,HGB - Hak Guna Bangunan,1300.0,Tidak,Tidak,Unfurnished,1.0,Selatan,Tidak,,PAM atau PDAM,Tidak,Baru
rungkut,0,650000000,2,2,100,80,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,2.0,Unknown,Ya,2 Mobil,PAM atau PDAM,Tidak,Unknown
tandes,0,650000000,4,2,100,100,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,2.0,Unknown,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus
rungkut,1,650000000,3,1,110,60,SHM - Sertifikat Hak Milik,1300.0,Tidak,Tidak,Unfurnished,1.0,Unknown,Tidak,,PAM atau PDAM,Tidak,Bagus
wiyung,0,650000000,3,3,128,125,SHM - Sertifikat Hak Milik,3500.0,Tidak,Tidak,Unfurnished,2.0,Unknown,Tidak,,,Tidak,Sudah Renovasi
benowo,1,650000000,2,1,134,100,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,1.0,Barat,Tidak,,,Tidak,Butuh Renovasi
wiyung,1,650000000,3,2,225,210,SHM - Sertifikat Hak Milik,3300.0,,Ya,Unfurnished,1.0,Selatan,Ya,,PAM atau PDAM,Tidak,Butuh Renovasi
wiyung,1,650000000,3,2,257,122,SHM - Sertifikat Hak Milik,4400.0,,,Unfurnished,1.0,Selatan,Unknown,,,Unknown,Bagus
rungkut,0,655000000,3,2,48,63,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,2.0,Selatan,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru
rungkut,1,670000000,3,2,50,120,SHM - Sertifikat Hak Milik,1300.0,Tidak,Tidak,Unfurnished,1.0,Unknown,Tidak,,PAM atau PDAM,Tidak,Bagus
kenjeran,1,670000000,4,2,160,120,SHM - Sertifikat Hak Milik,2200.0,,Ya,Unfurnished,1.0,Selatan,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus
tambaksari,1,670000000,2,1,188,160,SHM - Sertifikat Hak Milik,4400.0,Ya,Ya,Unfurnished,1.0,Utara,Ya,1 Mobil,Sumur Pompa,Ya,Bagus
kenjeran,0,675000000,3,2,45,90,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,2.0,Selatan,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru
rungkut,0,675000000,3,2,50,60,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,2.0,Timur,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru
rungkut,1,675000000,3,2,50,60,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,1.0,Timur,Ya,3 Mobil,PAM atau PDAM,Tidak,Baru
rungkut,0,675000000,3,2,50,60,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,2.0,Timur,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru
rungkut,0,675000000,3,2,50,75,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,2.0,Utara,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru
rungkut,0,675000000,3,2,50,70,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,2.0,Timur,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru
rungkut,0,675000000,3,2,50,70,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,2.0,Timur,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru
rungkut,1,675000000,3,2,50,70,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,1.0,Timur,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru
pakal,0,675000000,2,1,74,60,HGB - Hak Guna Bangunan,1300.0,,Ya,Unfurnished,2.0,Unknown,Tidak,,PAM atau PDAM,Tidak,Bagus
rungkut,1,675000000,3,1,88,50,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,1.0,Unknown,Tidak,,,Tidak,Baru
rungkut,1,675000000,3,1,88,50,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,1.0,Unknown,Tidak,,,Tidak,Baru
rungkut,1,675000000,3,1,88,60,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,1.0,Unknown,Tidak,,,Tidak,Baru
rungkut,1,675000000,3,1,88,60,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,1.0,Utara,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru
rungkut,1,675000000,3,1,88,60,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,1.0,Utara,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus
